applicant_name,age,gender,marital_status,dependents,education,employment_type,years_of_employment,monthly_income,bank_balance,existing_emi,existing_loan_amount,debt_to_income_ratio,credit_score,credit_history,previous_defaults,loan_amount_requested,loan_tenure,loan_purpose,collateral_value,property_area,loan_status
Anika Tiwari,42,Male,Married,3+,Not Graduate,Salaried,17.1,43310.96,241006.47,4547.73,199238.59,10.5,677,1,0,617397.01,240,Education,1471.69,Rural,Y
Saanvi Gupta,51,Female,Married,0,Graduate,Salaried,5.3,115786.97,627950.63,48180.12,950409.82,41.61,638,1,0,9521929.4,36,Home,7836894.34,Rural,Y
Vikram Patel,36,Female,Single,0,Graduate,Salaried,7.6,85971.66,105332.42,10478.56,443375.16,12.19,738,1,0,588348.31,240,Vehicle,607481.24,Rural,Y
Reyansh Tiwari,32,Male,Married,3+,Not Graduate,Salaried,7.2,74898.76,46560.29,21618.34,1288602.37,28.86,681,0,2,1527439.69,24,Vehicle,3218.19,Semiurban,N
Pooja Verma,27,Female,Single,0,Graduate,Self-Employed,2.6,59977.26,274593.69,22680.0,852384.77,37.81,803,0,0,5066389.55,24,Home,4655.38,Semiurban,Y
Myra Saxena,54,Male,Married,1,Graduate,Business Owner,12.1,80616.44,620454.8,39947.4,1777791.54,49.55,710,0,0,732176.19,36,Personal,525.52,Semiurban,N
Deepak Tiwari,59,Male,Single,1,Graduate,Salaried,3.9,45560.32,63652.99,3028.69,106976.72,6.65,441,1,3,2391616.7,240,Business,2210883.6,Urban,N
Aryan Shah,55,Male,Married,0,Not Graduate,Salaried,31.4,52898.16,36252.43,34375.23,1622482.05,64.98,588,1,0,864621.7,360,Vehicle,1407032.88,Urban,N
Aarav Tiwari,44,Female,Married,3+,Not Graduate,Salaried,19.0,56707.94,371476.39,11355.39,415326.81,20.02,547,1,0,4812708.76,120,Home,2066.82,Urban,Y
Aditya Mishra,53,Male,Single,0,Graduate,Business Owner,34.8,223447.0,1733601.46,158421.95,3000000.0,70.9,690,1,0,1069577.82,24,Medical,876647.33,Rural,Y
Sanjay Verma,38,Male,Married,2,Not Graduate,Salaried,0.8,129026.43,992482.65,22149.56,963722.92,17.17,568,1,1,3133673.38,240,Vehicle,2807460.92,Urban,Y
Kavita Iyer,22,Male,Married,2,Graduate,Salaried,2.3,119494.42,760662.33,11036.61,223164.16,9.24,685,0,0,2265338.85,240,Vehicle,2850579.09,Semiurban,Y
Ishaan Pandey,37,Male,Married,1,Graduate,Salaried,14.8,45198.85,295274.57,17737.31,434005.53,39.24,440,0,2,995298.63,120,Vehicle,1273566.0,Rural,N
Kabir Tiwari,52,Male,Single,0,Not Graduate,Salaried,15.1,116250.8,424692.1,58712.57,818904.0,50.51,514,1,0,902950.04,60,Medical,800.51,Rural,Y
Anjali Bansal,50,Female,Married,3+,Not Graduate,Retired,29.5,46312.94,111541.23,4824.3,99438.62,10.42,810,0,0,2782229.27,120,Home,3018567.79,Rural,Y
Deepak Singh,65,Male,Married,0,Not Graduate,Salaried,10.6,88408.35,143841.37,18364.49,703788.52,20.77,512,0,2,8222719.67,300,Home,12428166.66,Rural,N
Neha Malhotra,65,Female,Single,0,Graduate,Salaried,2.5,52361.9,407297.5,4869.23,291972.67,9.3,642,0,0,5539343.11,180,Home,6252129.46,Urban,N
Aryan Iyer,31,Female,Married,0,Graduate,Salaried,8.3,78645.8,360206.58,10303.2,111327.9,13.1,784,0,0,4243884.04,60,Business,6512213.56,Semiurban,Y
Rahul Verma,21,Female,Single,1,Graduate,Retired,15.6,31197.01,166105.05,17587.94,875751.2,56.38,620,1,0,775800.85,180,Vehicle,1549.96,Rural,N
Vihaan Saxena,33,Female,Married,1,Graduate,Salaried,14.7,139024.53,945606.74,24424.15,1134779.71,17.57,690,1,0,9111237.22,60,Home,12509547.89,Urban,Y
Deepak Saxena,60,Male,Single,0,Graduate,Business Owner,11.6,241770.96,404254.16,123065.99,3000000.0,50.9,657,1,0,10000000.0,120,Home,15000000.0,Urban,N
Sunita Rao,57,Male,Single,0,Graduate,Salaried,24.1,40897.82,154667.3,22336.37,716178.01,54.62,679,0,0,627845.26,24,Vehicle,567911.12,Semiurban,N
Suresh Shah,25,Male,Single,0,Graduate,Unemployed,0.0,37103.63,28236.94,13841.63,616390.31,37.31,666,1,0,738834.85,60,Vehicle,1217174.96,Urban,N
Ananya Rao,28,Male,Single,0,Graduate,Self-Employed,8.9,110732.17,74653.01,13694.26,424620.87,12.37,468,1,1,777324.85,12,Vehicle,1348466.75,Rural,Y
Sanjay Agarwal,46,Male,Married,1,Graduate,Salaried,21.5,78785.43,100916.76,25188.4,741592.56,31.97,554,0,0,1129442.52,60,Vehicle,986161.69,Urban,N
Rajesh Pandey,50,Female,Married,1,Not Graduate,Self-Employed,9.4,90657.73,434342.61,24991.84,800129.07,27.57,614,0,0,922997.71,120,Other,903465.33,Semiurban,N
Tara Mishra,65,Female,Married,0,Not Graduate,Unemployed,0.0,10000.0,33506.75,3340.77,59430.1,33.41,555,1,0,852947.13,12,Home,1037102.87,Semiurban,N
Manish Nair,54,Male,Married,0,Graduate,Business Owner,8.2,146266.61,106851.15,52400.29,2183591.94,35.83,680,0,0,3375222.37,36,Vehicle,4905381.56,Semiurban,N
Rohan Verma,30,Female,Married,0,Graduate,Salaried,11.8,49113.99,43495.56,22106.12,876250.78,45.01,645,0,0,584528.0,36,Business,817608.28,Rural,N
Arjun Reddy,22,Male,Single,0,Graduate,Salaried,1.6,95188.96,354346.23,13194.51,171941.53,13.86,311,0,4,654130.22,60,Vehicle,1149854.72,Urban,N
Yash Pandey,49,Male,Married,0,Not Graduate,Self-Employed,8.4,20782.27,124911.34,10364.03,189164.72,49.87,391,1,3,560517.39,12,Other,1640.03,Urban,N
Aarav Shah,45,Male,Single,0,Graduate,Business Owner,7.8,154217.68,176122.3,94819.49,3000000.0,61.48,498,0,0,10000000.0,12,Home,1662.51,Semiurban,N
Riya Tiwari,62,Female,Married,2,Graduate,Business Owner,28.4,500000.0,795985.95,127916.15,3000000.0,25.58,557,0,0,10000000.0,180,Business,10235119.18,Semiurban,Y
Kabir Kumar,46,Male,Single,0,Graduate,Self-Employed,15.5,17000.63,88791.56,1626.31,60939.33,9.57,619,0,0,122135.64,120,Personal,1094.01,Rural,N
Deepak Mishra,43,Male,Married,2,Graduate,Unemployed,0.0,30305.77,55755.51,16070.21,495690.24,53.03,668,1,0,1347183.78,60,Home,1484078.49,Rural,N
Kiara Rao,34,Male,Married,0,Graduate,Business Owner,9.5,78488.67,278397.84,10198.78,137823.87,12.99,438,0,3,281900.45,120,Personal,534.85,Rural,N
Ishaan Sharma,24,Male,Single,1,Graduate,Salaried,3.5,39478.83,246448.74,4149.12,90182.54,10.51,638,1,0,475134.74,300,Education,4183.04,Urban,Y
Sunita Nair,60,Female,Single,0,Not Graduate,Salaried,23.1,62580.11,55286.65,15139.88,323052.63,24.19,468,1,0,3119368.19,180,Home,4628690.15,Urban,Y
Meera Chopra,58,Male,Married,1,Not Graduate,Salaried,21.0,57336.41,360513.83,28568.72,1377383.4,49.83,701,0,1,551817.0,60,Vehicle,561.64,Urban,N
Kabir Verma,28,Female,Married,1,Graduate,Salaried,4.3,69576.42,56175.74,7829.93,132943.08,11.25,572,1,0,4389753.46,180,Business,4111642.49,Urban,Y
Neha Kumar,52,Female,Married,0,Not Graduate,Salaried,33.3,63630.09,119698.0,20848.83,534584.2,32.77,626,0,1,674430.4,24,Personal,719.56,Semiurban,N
Kabir Agarwal,37,Male,Married,0,Graduate,Business Owner,14.1,37451.02,104631.77,11900.99,489994.26,31.78,730,1,0,4221366.26,120,Home,6297555.62,Rural,Y
Anika Agarwal,40,Male,Single,1,Graduate,Self-Employed,18.8,65389.52,115360.02,3446.47,35962.15,5.27,662,0,0,1383742.68,12,Vehicle,1116133.59,Semiurban,Y
Ishaan Desai,59,Female,Married,0,Not Graduate,Salaried,12.0,114628.4,817302.74,36598.83,1799838.1,31.93,581,1,0,1366535.33,180,Personal,3118.82,Rural,Y
Priya Joshi,58,Male,Married,0,Graduate,Retired,33.2,75659.57,532768.68,32908.17,1663287.06,43.5,735,1,0,6236020.22,240,Home,5426888.35,Urban,Y
Sanjay Mishra,29,Male,Single,1,Not Graduate,Self-Employed,0.4,39940.66,113979.88,10426.39,227768.16,26.1,649,1,4,55560.17,36,Medical,1753.32,Urban,N
Aditya Nair,34,Female,Married,0,Graduate,Salaried,0.4,47241.64,93341.45,10072.34,434295.76,21.32,803,0,0,850753.61,300,Education,17.65,Semiurban,Y
Shreya Mishra,57,Female,Married,2,Not Graduate,Self-Employed,26.0,34477.15,223228.45,19003.99,565270.97,55.12,706,0,1,123415.36,60,Medical,142749.34,Semiurban,Y
Sai Reddy,62,Female,Married,1,Graduate,Self-Employed,21.5,37064.57,123350.21,2549.21,40645.04,6.88,685,0,0,550828.04,180,Personal,829.88,Semiurban,Y
Vivaan Khanna,24,Female,Single,0,Graduate,Self-Employed,4.2,30489.71,235070.53,5700.91,121948.37,18.7,511,0,3,398182.78,12,Personal,2168.66,Urban,N
Tara Patel,58,Male,Single,0,Not Graduate,Salaried,17.8,104511.81,165091.55,55730.36,1531617.63,53.32,445,1,3,4792628.18,24,Business,6065453.26,Semiurban,N
Yash Nair,43,Female,Married,0,Graduate,Self-Employed,4.2,56370.93,437455.77,13782.81,721400.62,24.45,575,1,1,359571.62,36,Personal,641486.0,Urban,Y
Aditya Joshi,47,Male,Single,0,Not Graduate,Unemployed,0.0,10000.0,67845.4,4833.55,216280.67,48.34,773,1,0,134075.05,360,Personal,111809.43,Urban,Y
Amit Gupta,24,Female,Single,0,Graduate,Self-Employed,0.9,109062.13,81865.47,11730.42,484362.04,10.76,608,0,0,3548406.73,60,Business,4047.59,Rural,Y
Deepak Verma,51,Male,Single,1,Graduate,Salaried,23.2,83663.51,305200.49,11867.14,690605.2,14.18,684,0,0,6007084.15,12,Business,8107530.12,Urban,Y
Vihaan Verma,51,Male,Single,0,Graduate,Salaried,13.8,98347.14,606327.2,16929.76,450885.84,17.21,530,1,3,8561977.28,240,Home,7810735.49,Urban,Y
Ishaan Tiwari,50,Male,Single,0,Not Graduate,Unemployed,0.0,10000.0,44532.59,3245.67,48838.95,32.46,699,1,0,158379.57,120,Education,207151.71,Semiurban,Y
Sanjay Singh,56,Female,Married,1,Graduate,Retired,17.2,13967.52,87364.21,2461.78,39665.06,17.63,541,1,0,108103.6,360,Personal,170152.63,Urban,Y
Saanvi Saxena,63,Male,Married,0,Not Graduate,Salaried,16.1,33252.4,181783.47,5091.41,243232.33,15.31,714,0,0,717440.2,36,Vehicle,1195822.57,Semiurban,Y
Rekha Kapoor,59,Female,Married,1,Graduate,Salaried,19.0,77448.49,74497.14,20917.98,815125.89,27.01,648,1,0,422537.69,300,Other,4710.29,Semiurban,Y
Tara Chopra,54,Male,Married,0,Not Graduate,Retired,25.7,40126.59,252876.82,6297.26,326928.35,15.69,594,1,0,4411038.35,180,Home,4564.8,Rural,Y
Diya Agarwal,65,Male,Married,0,Not Graduate,Business Owner,14.7,76671.82,175683.67,27014.64,1475593.4,35.23,682,1,0,1599847.18,360,Vehicle,1497047.02,Semiurban,Y
Neha Nair,51,Male,Married,1,Graduate,Self-Employed,19.2,38599.02,179302.47,14041.87,753402.41,36.38,425,0,3,567767.44,120,Other,710908.39,Semiurban,N
Manish Khanna,51,Male,Married,2,Graduate,Salaried,1.6,138468.17,216800.42,38984.07,1413449.78,28.15,484,1,4,5783140.99,12,Business,8874526.54,Semiurban,N
Kabir Kapoor,45,Female,Married,1,Graduate,Salaried,22.0,85421.82,279954.6,11165.72,474392.15,13.07,557,1,1,1233946.02,180,Business,4515.96,Urban,Y
Krishna Nair,55,Female,Married,0,Graduate,Salaried,33.1,85420.58,76245.33,12683.48,700139.05,14.85,642,1,0,1593669.69,60,Education,2219.06,Urban,Y
Vihaan Malhotra,24,Female,Single,0,Graduate,Business Owner,4.1,92004.83,577643.45,21648.29,519522.03,23.53,616,0,0,7478421.45,240,Home,9959772.24,Urban,Y
Neha Shah,43,Male,Married,1,Not Graduate,Self-Employed,3.7,44774.56,336744.87,10111.55,360381.59,22.58,863,0,0,838103.14,300,Education,1911.88,Urban,Y
Ishaan Chopra,40,Male,Single,1,Not Graduate,Salaried,0.4,80135.84,583197.98,35850.19,1739208.89,44.74,629,0,1,941333.64,300,Other,1048.79,Urban,N
Amit Malhotra,62,Female,Married,2,Graduate,Salaried,28.4,90957.08,485990.34,16606.55,249112.85,18.26,736,1,1,1650698.37,36,Education,2357.85,Urban,Y
Navya Pandey,24,Female,Single,0,Graduate,Salaried,4.3,42129.28,270523.47,17731.11,549653.65,42.09,673,0,0,959005.32,120,Vehicle,933744.25,Urban,Y
Shreya Mishra,49,Female,Single,0,Graduate,Self-Employed,11.0,72706.62,50295.5,23349.24,982419.37,32.11,712,0,0,4122153.62,120,Business,148.71,Semiurban,N
Shreya Mehta,29,Male,Single,0,Not Graduate,Salaried,3.6,56849.88,239712.57,11041.54,152279.9,19.42,725,1,1,1600140.69,36,Business,2337649.18,Urban,Y
Meera Joshi,60,Female,Married,1,Not Graduate,Retired,31.2,34195.17,82217.06,7479.39,239111.04,21.87,689,0,1,679151.19,300,Education,2787.73,Urban,N
Meera Chopra,59,Male,Married,0,Graduate,Salaried,31.5,36740.46,279603.03,3598.94,130116.95,9.8,505,1,3,450944.19,24,Other,3104.84,Urban,Y
Geeta Singh,31,Female,Married,0,Graduate,Salaried,2.1,23908.21,30756.09,7065.25,179975.89,29.55,591,1,0,371396.89,300,Personal,1874.64,Semiurban,Y
Shreya Pandey,60,Female,Married,1,Graduate,Salaried,31.1,75560.41,577126.73,28197.3,365604.36,37.32,734,0,0,1349299.55,24,Education,3766.87,Rural,Y
Rekha Khanna,43,Female,Married,1,Graduate,Salaried,3.0,66042.91,219988.01,26008.04,993235.89,39.38,625,1,0,1536495.96,60,Business,2735682.3,Urban,Y
Shreya Mishra,64,Male,Married,2,Not Graduate,Retired,30.6,48180.8,94407.6,21699.48,1192263.46,45.04,843,1,0,4185031.36,360,Home,5883577.69,Rural,Y
Kiara Khanna,53,Female,Married,0,Graduate,Self-Employed,16.1,50269.2,314654.11,4466.09,236180.5,8.88,672,0,0,461345.23,360,Vehicle,752708.0,Urban,Y
Vivaan Verma,22,Male,Single,1,Graduate,Self-Employed,1.1,51903.17,107453.1,19617.74,259423.06,37.8,549,0,2,3620201.97,180,Home,6016831.88,Rural,N
Vikram Saxena,30,Male,Single,1,Graduate,Salaried,8.2,73652.87,99521.95,27841.5,626178.88,37.8,636,0,0,7553002.11,60,Home,4032.98,Rural,Y
Deepak Kapoor,39,Female,Married,2,Not Graduate,Salaried,10.7,79452.88,171001.6,2586.45,103192.56,3.26,704,1,2,966426.65,360,Vehicle,1293378.13,Urban,N
Yash Pandey,30,Male,Married,2,Graduate,Salaried,5.8,45349.67,86875.52,24079.56,1384388.77,53.1,585,0,1,317787.14,12,Education,1259.76,Urban,N
Rekha Chopra,26,Male,Single,1,Graduate,Business Owner,5.7,192348.8,874262.92,56481.43,3000000.0,29.36,882,1,1,1291413.47,240,Education,483.18,Semiurban,Y
Amit Verma,65,Female,Married,0,Not Graduate,Retired,16.3,78546.51,538096.79,7224.49,178620.53,9.2,667,0,0,1173139.29,240,Business,1623032.47,Urban,Y
Anika Singh,60,Female,Married,1,Graduate,Business Owner,10.8,83116.1,277408.41,1713.18,21542.49,2.06,462,0,2,7410397.95,360,Home,13171346.68,Semiurban,N
Rekha Reddy,40,Female,Married,1,Graduate,Business Owner,16.6,33881.94,241420.76,5411.67,312423.0,15.97,588,0,3,149083.76,12,Other,267049.18,Urban,N
Kiara Saxena,30,Male,Married,3+,Not Graduate,Self-Employed,6.7,87211.0,429869.12,15987.44,387365.51,18.33,636,1,3,9333536.95,12,Home,868.35,Semiurban,Y
Pari Gupta,29,Female,Single,1,Not Graduate,Unemployed,0.0,10000.0,21509.6,3737.89,108260.36,37.38,567,0,0,442512.12,24,Home,403735.61,Urban,N
Ananya Malhotra,62,Male,Married,0,Not Graduate,Salaried,0.8,31491.48,174153.54,3258.01,115062.43,10.35,570,1,0,1860215.08,180,Home,838.62,Urban,Y
Saanvi Rao,35,Male,Single,1,Graduate,Business Owner,2.0,137256.6,202673.39,66330.48,3000000.0,48.33,592,0,0,1329764.36,12,Medical,3240.77,Semiurban,N
Deepak Patel,21,Male,Single,0,Graduate,Salaried,1.5,64795.69,241663.73,37514.81,1384218.17,57.9,695,1,1,3202585.94,360,Home,5292385.13,Rural,Y
Aadhya Shah,38,Female,Single,1,Graduate,Self-Employed,10.8,51426.2,145725.09,13304.21,441841.27,25.87,776,1,0,723310.79,300,Vehicle,851560.89,Semiurban,Y
Rahul Bansal,41,Male,Married,2,Graduate,Salaried,11.7,57923.33,96916.84,20843.75,291640.87,35.99,677,0,0,702423.18,60,Personal,1250.57,Urban,Y
Anjali Pandey,49,Male,Single,0,Not Graduate,Salaried,10.2,133049.84,152768.35,70703.63,3000000.0,53.14,545,0,2,10000000.0,480,Home,15000000.0,Rural,N
Anika Chopra,36,Female,Married,2,Graduate,Salaried,2.2,45822.77,317599.06,10674.56,401642.88,23.3,578,1,0,357210.37,360,Personal,641250.52,Semiurban,Y
Diya Gupta,62,Female,Single,0,Graduate,Salaried,34.2,105770.74,610732.82,20955.76,265336.91,19.81,762,0,0,9984069.78,120,Home,15000000.0,Urban,Y
Ishaan Chopra,49,Female,Single,0,Not Graduate,Salaried,0.5,46448.31,346417.47,15153.49,480972.53,32.62,598,1,0,3034490.39,12,Home,708.85,Rural,Y
Rekha Bansal,65,Female,Married,3+,Graduate,Retired,28.4,66051.81,298530.18,12573.06,340087.88,19.04,496,0,1,839326.51,24,Personal,496.85,Semiurban,N
Rekha Saxena,37,Female,Married,0,Graduate,Business Owner,1.6,78403.54,543473.8,61565.74,1366216.53,78.52,609,1,0,1898991.9,180,Business,2102467.06,Semiurban,N
Manish Khanna,50,Male,Single,0,Graduate,Retired,15.7,38353.67,219560.24,18037.07,1033657.11,47.03,765,1,0,531862.87,360,Personal,2195.75,Urban,Y
Neha Singh,37,Male,Married,2,Graduate,Business Owner,13.9,82230.85,639327.4,37941.22,856242.38,46.14,693,0,1,8854372.83,12,Home,15000000.0,Rural,N
Neha Malhotra,52,Female,Married,1,Graduate,Salaried,6.2,56900.45,402495.95,22183.36,1205597.59,38.99,744,0,0,1008690.74,180,Education,1533.97,Semiurban,Y
Ananya Khanna,54,Female,Married,0,Graduate,Salaried,34.2,52588.26,215867.25,19507.2,409247.14,37.09,632,1,3,862389.53,24,Education,2086.42,Rural,Y
Saanvi Patel,35,Female,Single,1,Graduate,Salaried,10.8,38071.77,151371.23,13312.58,549164.14,34.97,459,0,3,474708.01,360,Education,3180.25,Semiurban,N
Kavita Chopra,63,Male,Single,0,Graduate,Self-Employed,9.5,51429.91,177323.85,1895.89,47973.94,3.69,513,0,4,836012.6,12,Vehicle,3107.57,Rural,N
Anjali Verma,59,Female,Married,1,Not Graduate,Salaried,3.7,46565.68,160934.23,5569.02,149264.26,11.96,572,1,0,912130.94,300,Personal,1125.35,Rural,N
Rahul Chopra,61,Female,Single,1,Graduate,Salaried,20.3,92628.3,255129.85,42694.66,1906584.49,46.09,554,1,0,577091.41,240,Vehicle,1271.62,Semiurban,Y
Kavita Mehta,30,Male,Married,3+,Graduate,Salaried,6.8,84688.62,558081.24,42745.21,1468699.55,50.47,519,1,1,6334375.86,300,Business,3607.74,Semiurban,N
Arjun Malhotra,53,Female,Married,0,Graduate,Salaried,8.4,83562.94,556717.74,39485.59,745263.22,47.25,687,0,0,973371.54,120,Personal,584.27,Rural,N
Kavita Kapoor,25,Female,Married,0,Graduate,Salaried,2.6,71559.62,274407.55,21296.44,419332.65,29.76,434,1,0,1315147.66,180,Personal,203.03,Rural,N
Manish Gupta,25,Female,Single,0,Graduate,Salaried,3.6,94235.67,296334.5,34046.71,1521394.79,36.13,643,0,2,8748126.18,24,Home,13374233.15,Urban,N
Saanvi Desai,64,Female,Married,0,Graduate,Retired,19.9,41177.17,230696.04,6829.78,90964.22,16.59,697,0,1,756324.66,120,Personal,1170224.18,Urban,N
Aarav Reddy,27,Male,Married,3+,Not Graduate,Business Owner,8.4,58327.57,165133.68,18576.4,891714.52,31.85,762,1,1,3396355.26,24,Home,3975952.97,Rural,Y
Vivaan Joshi,59,Female,Married,0,Graduate,Salaried,30.8,72124.02,443015.58,6720.02,283483.88,9.32,573,0,0,701801.4,360,Education,4735.9,Urban,N
Ananya Patel,40,Male,Married,1,Graduate,Retired,20.0,11975.36,88002.65,1545.97,22575.6,12.91,804,1,0,1089673.29,480,Home,1868881.89,Urban,Y
Sai Khanna,34,Female,Single,0,Graduate,Salaried,14.9,64020.27,379368.55,673.0,29549.34,1.05,743,1,0,2294986.75,24,Business,4266.86,Urban,Y
Reyansh Joshi,24,Female,Single,0,Graduate,Unemployed,0.0,10000.0,23745.95,1221.23,52003.9,12.21,653,0,1,91884.16,360,Personal,4343.04,Urban,N
Riya Mehta,51,Female,Married,1,Graduate,Business Owner,4.2,62780.42,469605.28,12475.03,448050.56,19.87,641,1,0,403004.63,36,Vehicle,4115.02,Rural,Y
Vikram Sharma,53,Female,Married,3+,Graduate,Salaried,8.7,64854.15,483991.98,28996.5,1285181.78,44.71,579,1,0,5163713.82,120,Business,3018.81,Urban,N
Rahul Shah,42,Female,Married,0,Graduate,Self-Employed,13.3,25947.31,105550.0,2471.22,74818.57,9.52,604,0,0,1443067.32,24,Business,1862376.18,Rural,N
Krishna Iyer,57,Male,Married,3+,Graduate,Retired,26.9,36969.99,284473.98,1505.29,83525.07,4.07,730,1,0,399861.57,300,Education,802.56,Urban,Y
Neha Khanna,35,Male,Married,0,Graduate,Salaried,7.3,26542.75,32661.73,9077.12,387319.89,34.2,678,1,0,1356709.02,360,Home,2062358.37,Urban,Y
Aadhya Chopra,45,Male,Married,0,Graduate,Salaried,20.8,58151.37,272450.7,13732.5,185353.55,23.62,569,0,0,705173.21,60,Vehicle,1219142.26,Urban,N
Aadhya Bansal,33,Female,Married,2,Graduate,Salaried,1.5,60876.56,57572.86,26449.13,548474.78,43.45,655,0,0,3294117.85,24,Home,4710882.85,Urban,N
Amit Reddy,47,Female,Married,2,Not Graduate,Salaried,25.5,55541.33,376376.08,13295.27,300862.02,23.94,590,0,2,3971213.28,36,Home,5189475.72,Urban,N
Amit Joshi,27,Female,Single,0,Graduate,Salaried,7.0,47131.84,34565.99,200.63,10401.91,0.43,900,1,0,4737643.14,180,Home,7009266.75,Urban,Y
Rohan Mishra,42,Male,Married,0,Graduate,Business Owner,12.7,95336.92,209986.02,35297.27,1510449.57,37.02,435,0,3,1852643.81,180,Other,762.82,Semiurban,N
Aditya Pandey,45,Female,Married,2,Not Graduate,Salaried,5.0,86370.37,425280.58,27704.01,1416586.79,32.08,693,1,0,488481.3,24,Vehicle,734687.13,Urban,Y
Anjali Verma,46,Male,Single,0,Graduate,Salaried,22.6,35511.2,30183.81,10685.59,314104.36,30.09,732,0,0,324545.78,300,Education,350621.03,Urban,Y
Shreya Bansal,41,Female,Single,1,Graduate,Salaried,18.9,66531.88,81014.35,8549.2,182318.99,12.85,716,1,0,3591668.89,120,Business,6142970.61,Rural,Y
Aditya Verma,49,Female,Single,1,Not Graduate,Salaried,7.7,78942.3,343058.94,25262.66,626600.99,32.0,628,1,1,787530.77,60,Other,1409024.78,Rural,Y
Reyansh Mehta,44,Male,Married,1,Graduate,Salaried,0.5,40420.5,102332.1,12029.54,418860.07,29.76,624,1,0,440691.05,240,Personal,1237.12,Rural,Y
Amit Desai,33,Female,Single,0,Graduate,Business Owner,1.4,62164.86,62379.96,39677.52,1821267.17,63.83,731,0,0,1169770.84,360,Personal,1642.16,Urban,N
Myra Iyer,30,Male,Married,0,Graduate,Retired,20.5,85948.74,157017.8,34461.14,1609635.56,40.09,629,0,0,1565890.87,36,Personal,2253623.78,Urban,N
Priya Mishra,50,Male,Married,1,Graduate,Salaried,4.0,42334.03,88329.27,5512.83,288877.28,13.02,751,0,0,4672406.96,36,Home,4185303.52,Semiurban,Y
Anjali Saxena,63,Female,Married,0,Graduate,Self-Employed,34.9,132851.94,847243.22,9520.04,119932.67,7.17,583,1,3,2275786.57,24,Vehicle,4067512.64,Semiurban,Y
Aryan Mehta,54,Female,Married,0,Graduate,Salaried,1.1,68452.65,534918.89,7858.72,247639.0,11.48,866,1,0,3410521.44,240,Business,5121460.95,Urban,Y
Anjali Singh,49,Male,Single,0,Not Graduate,Unemployed,0.0,50188.52,375046.95,7697.85,293448.14,15.34,604,0,3,427911.43,120,Medical,2371.86,Urban,N
Rohan Agarwal,62,Male,Married,2,Graduate,Salaried,26.2,47863.69,84758.28,10255.33,477368.54,21.43,575,1,3,779213.38,240,Business,859515.75,Urban,Y
Myra Kumar,61,Male,Married,0,Not Graduate,Salaried,34.3,35842.2,124673.54,7666.38,394143.61,21.39,513,0,1,790179.67,12,Vehicle,1024233.37,Semiurban,N
Anika Sharma,43,Male,Married,0,Graduate,Salaried,18.9,68607.84,394828.12,45910.57,1387033.49,66.92,605,1,0,1004775.89,12,Vehicle,4099.54,Urban,Y
Rahul Shah,25,Male,Single,1,Graduate,Business Owner,2.5,254882.78,1011722.82,94405.62,3000000.0,37.04,575,0,4,10000000.0,24,Home,15000000.0,Semiurban,N
Kabir Joshi,49,Male,Married,0,Not Graduate,Salaried,23.0,67480.0,315267.98,30960.94,1006934.26,45.88,543,1,2,7772812.92,12,Home,7515740.19,Urban,Y
Sai Kumar,49,Female,Married,0,Not Graduate,Salaried,26.7,70120.15,87336.01,7002.34,122368.12,9.99,571,1,0,1187958.54,360,Vehicle,1544279.62,Urban,Y
Yash Nair,33,Male,Married,2,Not Graduate,Business Owner,8.1,54319.39,29180.66,8358.28,464919.81,15.39,617,0,2,1014948.27,24,Education,3447.03,Urban,N
Ira Iyer,59,Male,Married,2,Graduate,Business Owner,33.8,131409.67,423137.12,15404.93,388348.12,11.72,684,0,1,2452201.59,24,Vehicle,3773329.98,Semiurban,Y
Ananya Khanna,60,Male,Single,0,Graduate,Self-Employed,27.1,39853.29,230069.58,21578.02,1133979.78,54.14,710,1,0,3359915.75,60,Home,5767300.03,Semiurban,Y
Geeta Nair,35,Male,Married,3+,Graduate,Retired,31.4,35351.36,277755.55,14493.68,404423.48,41.0,622,0,0,134969.31,360,Personal,792.97,Urban,N
Diya Khanna,42,Female,Married,2,Not Graduate,Salaried,14.7,109651.99,317014.56,30764.96,1487751.54,28.06,562,1,0,8166575.86,300,Home,8150851.82,Urban,Y
Aarav Iyer,29,Male,Single,0,Graduate,Salaried,0.3,99084.83,91190.7,22268.19,773110.14,22.47,443,1,5,171352.98,240,Medical,4414.8,Rural,N
Divya Sharma,29,Male,Married,1,Graduate,Salaried,8.7,51490.61,100292.93,36959.58,476988.55,71.78,764,0,0,542874.53,36,Vehicle,776416.91,Urban,N
Yash Desai,32,Female,Married,1,Graduate,Salaried,7.0,50655.25,346026.06,20165.06,990546.18,39.81,536,0,0,592361.9,240,Business,3357.53,Rural,N
Yash Joshi,37,Female,Married,0,Graduate,Unemployed,0.0,10000.0,18746.34,5626.07,317957.82,56.26,519,1,0,355641.35,300,Business,2549.68,Rural,N
Myra Kapoor,33,Male,Married,0,Graduate,Salaried,10.6,46454.01,146135.66,30461.89,1366854.65,65.57,571,1,2,610372.76,24,Business,911184.45,Semiurban,Y
Sanjay Chopra,27,Male,Married,1,Graduate,Salaried,3.9,91656.94,557626.24,15972.83,901216.73,17.43,546,1,0,6737954.45,120,Home,774.25,Urban,Y
Geeta Malhotra,41,Female,Married,0,Graduate,Salaried,9.4,87653.03,416337.28,24078.7,894451.38,27.47,639,1,0,4342851.14,240,Business,4336383.26,Urban,Y
